station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
1061003,1,2013,12,25,02,13,15. ,10,00035
1061003,1,2014,01,15,08,26,15. ,05,00028
1061003,1,2014,07,08,18,05,41. ,10,00024
1061003,1,2014,07,25,13,18,55. ,05,00017
1061003,1,2014,08,10,12,43,48. ,14,00036
1061003,1,2014,10,11,11,36,50. ,14,00029
1061003,1,2014,11,03,11,28,32. ,07,00033
1061003,1,2015,02,17,08,07,50. ,13,00021
1061003,1,2015,02,21,04,29,15. ,06,00020
1061003,1,2015,03,06,08,06,45. ,11,00029
1061003,1,2015,03,25,09,35,23. ,09,00021
1061003,1,2015,05,13,06,14,20. ,14,00027
1061003,1,2015,05,30,20,28,20. ,11,00014
1061003,1,2015,06,08,15,01,35. ,11,00039
1061003,1,2015,07,10,03,33,25. ,06,00015
1061003,1,2015,08,14,13,44,45. ,07,00017
1061003,1,2015,09,06,13,02,40. ,14,00070
1061003,1,2015,11,01,12,49,19. ,07,00022
1061003,3,2016,01,14,12,26,02. ,32,00462
1061003,2,2016,06,16,14,21,38. ,18,00067
1061003,1,2016,07,13,03,54,08. ,08,00029
1061003,1,2016,07,24,11,52,22. ,06,00022
1061003,1,2016,09,26,14,14,14. ,13,00042
1061003,1,2016,10,12,04,03,20. ,10,00028
1061003,1,2016,11,22,06,02,30. ,12,00017
1061003,1,2017,04,30,23,43,30. ,06,00018
1061003,1,2017,07,01,23,46,22. ,11,00037
1061003,1,2017,09,10,17,45,09. ,13,00029
1061003,1,2017,12,02,05,48,36. ,10,00025
1061003,2,2018,01,24,19,51,54. ,17,00055
1061003,1,2018,07,02,02,27,41. ,05,00020
1061003,4,2018,09,06,03,08,23. ,40,00625
1061003,1,2018,09,06,03,10,20. ,14,00023
1061003,1,2018,09,06,03,11,20. ,07,00010
1061003,2,2018,09,06,03,17,46. ,15,00062
1061003,2,2018,09,06,03,20,40. ,24,00139
1061003,1,2018,09,06,03,23,40. ,07,00018
1061003,1,2018,09,06,04,11,25. ,07,00027
1061003,2,2018,09,06,06,11,52. ,20,00103
1061003,1,2018,09,06,14,04,34. ,06,00030
1061003,1,2018,09,07,13,26,02. ,07,00020
1061003,1,2018,09,07,22,44,24. ,05,00021
1061003,2,2018,09,09,22,55,44. ,15,00063
1061003,1,2018,09,11,04,59,24. ,11,00038
1061003,1,2018,09,14,06,54,59. ,14,00060
1061003,2,2018,09,17,02,52,03. ,17,00100
1061003,1,2018,09,24,18,17,43. ,09,00041
1061003,2,2018,09,30,17,54,37. ,17,00067
1061003,1,2018,10,01,11,22,42. ,06,00017
1061003,1,2018,10,05,08,59,19. ,13,00038
1061003,1,2018,10,08,21,54,35. ,05,00025
1061003,1,2018,10,09,02,45,52. ,06,00025
1061003,1,2018,10,12,09,15,03. ,11,00033
1061003,1,2018,11,14,19,08,02. ,11,00030
1061003,1,2018,11,28,11,24,30. ,09,00022
1061003,1,2018,12,30,04,09,25. ,12,00033
1061003,1,2019,01,26,17,24,08. ,07,00016
1061003,2,2019,02,21,21,23,03. ,24,00120
1061003,1,2019,04,28,02,25,31. ,11,00036
1061003,1,2019,08,15,14,33,20. ,06,00018
1061003,1,2019,08,29,08,47,30. ,14,00028
1061003,1,2019,09,07,18,36,25. ,06,00020
1061003,2,2019,12,22,14,24,54. ,24,00167
1061003,1,2020,02,13,19,36,41. ,11,00030
1061003,1,2020,03,28,09,58,25. ,08,00023
1061003,1,2020,04,12,22,12,25. ,12,00044
1061003,2,2020,05,17,12,30,00. ,17,00204
1061003,1,2020,11,06,17,57,50. ,10,00017
1061003,1,2020,12,12,16,20,00. ,06,00016
1061003,2,2020,12,21,02,23,50. ,17,00043
1061003,1,2021,01,27,14,07,31. ,12,00032
1061003,2,2021,02,13,23,10,10. ,23,00056
1061003,1,2021,03,20,18,11,10. ,14,00021
1061003,2,2021,04,16,05,47,59. ,22,00268
1061003,1,2021,05,01,10,29,21. ,13,00020
1061003,1,2021,07,26,11,16,40. ,09,00022
1061003,1,2021,10,06,02,46,51. ,09,00016
1061003,1,2021,10,09,11,48,11. ,05,00019
1061003,1,2021,10,19,21,37,33. ,07,00023
