station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
7040270,4,1927,03,07,18,27,00. ,//,/////
7040270,4,1927,09,17,13,19,  . ,//,/////
7040270,4,1928,09,25,13,58,00. ,//,/////
7040270,5,1929,05,20,23,35,00. ,//,/////
7040270,1,1929,05,22,01,35,00. ,//,/////
7040270,4,1929,10,10,04,45,00. ,//,/////
7040270,3,1930,02,05,22,28,00. ,//,/////
7040270,4,1930,03,31,05,09,00. ,//,/////
7040270,4,1930,12,20,23,02,00. ,//,/////
7040270,5,1930,12,21,21,14,00. ,//,/////
7040270,3,1930,12,21,21,18,00. ,//,/////
7040270,1,1931,01,15,22,38,00. ,//,/////
7040270,5,1931,11,02,19,03,00. ,//,/////
7040270,3,1931,11,02,20,00,00. ,//,/////
7040270,3,1931,12,22,22,08,00. ,//,/////
7040270,2,1932,01,05,17,21,  . ,//,/////
7040270,4,1933,03,12,16,38,00. ,//,/////
7040270,3,1934,09,01,08,05,00. ,//,/////
7040270,1,1935,02,05,05,10,00. ,//,/////
7040270,1,1935,02,16,07,52,  . ,//,/////
7040270,3,1935,07,17,00,00,00. ,//,/////
7040270,3,1937,02,27,23,42,00. ,//,/////
7040270,3,1939,01,20,17,02,  . ,//,/////
7040270,3,1939,03,20,12,22,00. ,//,/////
7040270,3,1939,04,15,00,57,00. ,//,/////
7040270,3,1940,02,23,02,57,00. ,//,/////
7040270,3,1940,07,09,03,55,00. ,//,/////
7040270,3,1940,08,14,00,36,00. ,//,/////
7040270,3,1941,11,19,01,46,00. ,//,/////
7040270,3,1942,02,22,09,47,00. ,//,/////
7040270,2,1942,04,09,00,50,  . ,//,/////
7040270,2,1942,10,27,14,29,00. ,//,/////
7040270,1,1943,03,04,19,13,00. ,//,/////
7040270,1,1943,03,05,04,50,00. ,//,/////
7040270,2,1943,08,07,00,10,  . ,//,/////
7040270,2,1943,08,09,04,28,00. ,//,/////
7040270,3,1943,09,10,17,37,00. ,//,/////
7040270,2,1952,07,18,01,09,51. ,//,/////
7040270,1,1952,08,09,14,20,03. ,//,/////
7040270,2,1953,07,30,17,24,48. ,//,/////
7040270,1,1954,03,23,14,25,39. ,//,/////
7040270,2,1954,12,18,06,46,44. ,//,/////
7040270,2,1955,12,05,22,30,54. ,//,/////
7040270,1,1957,09,26,07,17,01. ,//,/////
7040270,2,1957,10,08,17,50,  . ,//,/////
7040270,2,1958,01,07,11,38,35. ,//,/////
7040270,3,1958,09,08,23,53,18. ,//,/////
7040270,2,1960,05,11,08,17,59. ,//,/////
7040270,1,1960,10,13,21,55,16. ,//,/////
7040270,2,1964,04,12,21,14,51. ,//,/////
7040270,3,1964,11,14,12,56,06. ,//,/////
7040270,1,1965,01,27,21,22,34. ,//,/////
7040270,1,1965,01,30,17,27,25. ,//,/////
7040270,2,1965,07,13,03,50,56. ,//,/////
7040270,1,1965,12,18,21,25,23. ,//,/////
7040270,2,1967,11,28,11,36,54. ,//,/////
7040270,1,1968,01,12,11,58,35. ,//,/////
7040270,3,1968,04,01,09,42,01. ,//,/////
7040270,1,1968,04,01,16,13,14. ,//,/////
7040270,3,1968,08,06,01,17,06. ,//,/////
7040270,1,1968,08,06,06,17,  . ,//,/////
7040270,1,1968,08,06,11,34,39. ,//,/////
7040270,2,1969,02,28,06,05,46. ,//,/////
7040270,1,1969,04,21,16,19,24. ,//,/////
