station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
4300037,2,2000,06,07,06,17,20,00110
4300037,1,2000,10,31,01,43,07,00024
4300037,1,2001,01,06,11,48,12,00057
4300037,1,2001,02,23,07,24,06,00024
4300037,1,2001,04,03,23,57,09,00030
4300037,1,2003,03,13,21,05,06,00034
4300037,1,2004,09,05,19,08,11,00039
4300037,2,2004,09,05,23,58,15,00055
4300037,1,2004,10,23,18,35,14,00032
4300037,1,2006,01,01,22,57,06,00046
4300037,1,2006,12,19,18,33,07,00037
4300037,3,2007,03,25,09,42,34,00612
4300037,1,2007,03,25,18,12,14,00080
4300037,1,2007,03,26,07,17,13,00074
4300037,1,2007,03,26,14,47,06,00031
4300037,1,2007,03,28,08,08,09,00030
4300037,1,2007,04,15,12,20,12,00041
4300037,1,2007,04,28,09,27,07,00069
4300037,1,2007,06,11,03,45,13,00041
4300037,2,2007,07,16,10,13,24,00076
4300037,1,2007,07,16,15,38,08,00025
4300037,1,2008,01,26,04,34,13,00047
4300037,1,2009,02,18,06,47,11,00040
4300037,2,2009,08,11,05,08,20,00080
4300037,1,2010,01,30,10,19,09,00254
4300037,1,2010,07,21,06,20,07,00023
4300037,1,2010,10,16,02,52,11,00663
4300037,3,2011,02,27,02,19,26,00303
4300037,3,2011,02,27,05,38,32,00776
4300037,1,2011,02,27,09,48,11,00095
4300037,1,2011,02,27,21,47,09,00058
4300037,1,2011,02,28,04,03,12,00066
4300037,1,2011,02,28,11,33,11,00088
4300037,1,2011,03,01,16,50,07,00050
4300037,2,2011,03,11,14,49,19,00093
4300037,3,2011,03,11,14,56,25,00308
4300037,1,2011,03,11,15,17,07,00011
4300037,1,2011,03,12,03,59,12,00023
4300037,1,2011,03,15,15,32,12,00101
4300037,2,2011,03,15,22,32,15,00046
4300037,1,2011,03,16,00,39,07,00059
4300037,1,2011,03,16,03,33,13,00112
4300037,1,2011,03,21,13,15,12,00085
4300037,1,2011,03,31,07,33,06,00040
