station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
6313233,1,2001,10,02,21,15,13. ,05,00012
6313233,1,2002,01,24,16,09,36. ,06,00013
6313233,2,2002,03,25,22,58,49. ,19,00079
6313233,1,2002,04,06,01,57,40. ,13,00029
6313233,2,2002,09,16,10,11,48. ,18,00064
6313233,1,2002,10,13,19,07,11. ,14,00038
6313233,2,2002,11,04,13,36,49. ,15,00036
6313233,1,2003,01,09,20,47,42. ,06,00041
6313233,2,2003,08,14,23,46,01. ,23,00332
6313233,1,2003,12,13,12,33,12. ,08,00018
6313233,1,2004,04,20,22,27,17. ,05,00014
6313233,3,2004,09,05,19,07,51. ,27,00185
6313233,2,2004,09,05,23,59,20. ,18,00059
6313233,2,2004,09,07,08,30,55. ,16,00045
6313233,1,2004,09,21,10,13,54. ,08,00024
6313233,1,2004,11,11,02,22,44. ,12,00049
6313233,2,2005,03,20,10,55,40. ,16,00043
6313233,1,2005,04,20,06,13,07. ,05,00013
6313233,3,2005,05,27,03,17,32. ,33,00361
6313233,3,2005,11,22,00,38,14. ,26,00135
6313233,2,2006,03,27,11,51,08. ,17,00049
6313233,1,2006,05,08,12,46,03. ,07,00023
6313233,3,2006,06,12,05,02,07. ,31,00250
6313233,1,2006,09,26,07,04,34. ,14,00035
6313233,1,2006,11,19,13,29,40. ,08,00021
6313233,4,2007,04,26,09,03,07. ,41,00743
6313233,1,2007,05,13,08,14,49. ,10,00027
6313233,1,2007,07,08,08,44,33. ,13,00035
6313233,1,2008,03,08,03,52,53. ,09,00029
