station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
4410421,2,2014,09,16,12,28,55. ,21,00062
4410421,2,2014,11,22,22,08,49. ,22,00077
4410421,2,2014,12,11,15,08,01. ,20,00124
4410421,2,2015,05,13,06,15,13. ,16,00026
4410421,1,2015,05,15,14,04,06. ,06,00028
4410421,1,2015,05,18,11,51,19. ,06,00029
4410421,2,2015,05,25,14,28,30. ,19,00048
4410421,1,2015,05,30,01,07,29. ,08,00017
4410421,3,2015,05,30,20,26,38. ,27,00096
4410421,1,2015,05,31,01,26,57. ,06,00023
4410421,1,2015,06,30,10,33,02. ,10,00039
4410421,2,2015,09,12,05,49,22. ,19,00106
4410421,1,2015,10,25,17,15,30. ,14,00093
4410421,1,2015,12,16,00,53,39. ,08,00045
4410421,1,2016,02,05,07,42,11. ,09,00025
4410421,1,2016,04,16,01,29,27. ,14,00020
4410421,1,2016,05,16,21,23,39. ,14,00028
4410421,1,2016,07,17,13,24,41. ,09,00021
4410421,1,2016,07,19,12,58,31. ,06,00015
4410421,2,2016,11,22,06,01,17. ,21,00045
4410421,1,2016,12,28,21,40,08. ,11,00016
4410421,1,2017,08,10,09,37,05. ,06,00029
4410421,1,2017,09,11,00,51,28. ,08,00032
4410421,1,2018,01,06,00,54,46. ,07,00025
4410421,1,2018,05,15,14,00,45. ,14,00086
4410421,2,2018,07,07,20,24,19. ,16,00057
4410421,1,2018,08,29,00,40,06. ,11,00080
4410421,1,2018,11,27,08,34,35. ,07,00014
4410421,1,2019,01,18,21,47,11. ,08,00018
4410421,2,2019,06,24,09,12,15. ,15,00059
4410421,1,2019,07,08,22,54,33. ,07,00032
4410421,2,2019,08,04,19,24,41. ,19,00042
4410421,1,2019,10,12,18,22,42. ,05,00019
4410421,1,2020,02,01,02,08,27. ,07,00018
4410421,1,2020,05,06,01,57,42. ,06,00024
4410421,1,2020,06,01,06,03,09. ,06,00014
4410421,1,2020,06,25,04,48,41. ,14,00023
4410421,1,2020,09,27,13,14,14. ,07,00020
4410421,1,2020,11,22,19,07,05. ,10,00015
